Full Name,Date of Birth,Country,State,Religion,Caste,Family Income,School Name,10th Percentage,Higher Education,12th Percentage,Diploma Percentage,Graduation Percentage,Course Type,University,Institution State,Tuition Fee,Exam Fee,Living Type,Hostel Fee,Travel Fee,Father's Name,Mother's Name,Bank Name,Branch Name,Credit Score
Riya Varkey,2001-06-07,India,Telangana,Other,General,1137408,Delhi Public School,77,12th,86.0,,,Vocational Training,Osmania University,Telangana,235437,4816,Hosteller,18762,0,Chandresh,Ekanta,Bajaj Finserv,Hyderabad,736
Ishaan Dhawan,2005-12-27,India,Telangana,Christian,OBC,213262,Hyderabad Public School,88,12th,79.0,,,Vocational Training,University of Hyderabad,Telangana,103077,5719,Hosteller,41886,0,Laban,Indira,State Bank of India,Hyderabad,646
Ayaan Singh,1999-04-20,India,Telangana,Sikh,OBC,791344,Delhi Public School,64,Diploma,,70.0,,PhD,mrecw,Telangana,293779,9723,Day Scholar,0,3739,Faqid,Wishi,RBL Bank,Hyderabad,649
Aanya Arora,2006-05-04,India,Telangana,Hindu,General,552321,Hyderabad Public School,69,Graduation,,,53.0,PhD,mrecw,Telangana,169739,7565,Day Scholar,0,2165,Balveer,Qushi,Bank of Baroda,Hyderabad,835
sri Taneja,2006-02-09,India,Telangana,Hindu,General,134640,Bhavans,65,Diploma,,86.0,,PhD,Jawaharlal Nehru Technological University,Telangana,192385,5378,Hosteller,17826,0,Jeet,Irya,Union Bank of India,Hyderabad,770
sri Sankar,1999-06-16,India,Telangana,Hindu,OBC,1064149,Narayana,72,12th,71.0,,,PhD,Osmania University,Telangana,244342,2717,Hosteller,35463,0,Sai,Lila,Canara Bank,Hyderabad,716
Kian Mukherjee,2000-06-15,India,Telangana,Sikh,SC,628152,Sri Chaitanya,83,12th,76.0,,,Vocational Training,Jawaharlal Nehru Technological University,Telangana,172600,9221,Hosteller,46196,0,Qadim,Veda,Canara Bank,Hyderabad,787
Shreya Pau,2003-02-03,India,Telangana,Other,Other,286206,Narayana,60,Graduation,,,60.0,Medical,BITS Pilani Hyderabad,Telangana,207098,9675,Hosteller,38528,0,Nicholas,Libni,Canara Bank,Hyderabad,619
Ananya Mahal,2000-08-16,India,Telangana,Christian,SC,1025470,Oakridge International School,62,Diploma,,70.0,,Law,ICFAI Business School,Telangana,211225,3303,Hosteller,17687,0,Jack,Damini,Bank of Baroda,Hyderabad,819
Vivaan Kala,2006-05-08,India,Telangana,Sikh,General,794979,Hyderabad Public School,80,Diploma,,63.0,,Medical,BITS Pilani Hyderabad,Telangana,242830,3592,Hosteller,22749,0,Gaurav,Urvi,Bank of Baroda,Hyderabad,768
Meera Sachdev,2003-10-06,India,Telangana,Sikh,SC,181704,Delhi Public School,91,12th,66.0,,,PhD,Jawaharlal Nehru Technological University,Telangana,134192,4803,Hosteller,29436,0,Quincy,Qushi,RBL Bank,Hyderabad,841
Nisha Lad,2006-09-28,India,Telangana,Hindu,Other,854377,Narayana,74,Diploma,,78.0,,Vocational Training,BITS Pilani Hyderabad,Telangana,262488,1659,Hosteller,12651,0,Liam,Gauri,Axis Bank,Hyderabad,786
Kian Contractor,2003-09-24,India,Telangana,Sikh,ST,426613,Hyderabad Public School,61,Diploma,,61.0,,PhD,Osmania University,Telangana,84841,2468,Day Scholar,0,8806,Ayaan,Baghyawati,ICICI Bank,Hyderabad,674
Nisha Pandit,2006-05-16,India,Telangana,Sikh,Other,228780,Oakridge International School,69,Graduation,,,64.0,Medical,mrecw,Telangana,208502,9494,Day Scholar,0,8376,Vedant,Chakrika,Axis Bank,Hyderabad,663
Ananya Narasimhan,2005-02-16,India,Telangana,Hindu,ST,851124,Hyderabad Public School,68,Graduation,,,78.0,PhD,BITS Pilani Hyderabad,Telangana,166488,2860,Hosteller,33722,0,Jonathan,Ekanta,RBL Bank,Hyderabad,760
Vihaan Jani,2002-01-15,India,Telangana,Sikh,ST,1137839,Narayana,84,Graduation,,,85.0,Medical,ICFAI Business School,Telangana,285558,6204,Day Scholar,0,3971,Michael,Ikshita,Punjab National Bank,Hyderabad,730
Nisha Manne,1999-07-02,India,Telangana,Muslim,SC,790112,Hyderabad Public School,79,Diploma,,83.0,,Vocational Training,BITS Pilani Hyderabad,Telangana,175462,9451,Day Scholar,0,9539,Aadi,Ganga,Bajaj Finserv,Hyderabad,787
Aanya Andra,2005-08-25,India,Telangana,Other,OBC,728889,Oakridge International School,86,Graduation,,,87.0,Medical,ICFAI Business School,Telangana,91078,6439,Hosteller,39902,0,Gagan,Veda,Bajaj Finserv,Hyderabad,685
Rupa Swamy,2003-01-01,India,Telangana,Sikh,SC,604386,Bhavans,78,12th,91.0,,,MBA,Osmania University,Telangana,56904,1105,Day Scholar,0,7599,Nicholas,Amaira,HDFC Bank,Hyderabad,840
Aarav Prakash,2001-05-07,India,Telangana,Christian,ST,258996,Delhi Public School,81,12th,95.0,,,Medical,mrecw,Telangana,146702,9829,Hosteller,35372,0,Zehaan,Aachal,ICICI Bank,Hyderabad,602
Aaditya Mangat,2002-09-24,India,Telangana,Hindu,General,611100,Delhi Public School,90,Graduation,,,72.0,Vocational Training,Osmania University,Telangana,123447,6116,Hosteller,19361,0,Utkarsh,Keya,ICICI Bank,Hyderabad,637
Rupa Pal,2001-06-28,India,Telangana,Muslim,OBC,1156095,Hyderabad Public School,83,Diploma,,72.0,,Law,mrecw,Telangana,56172,7908,Hosteller,28640,0,Utkarsh,Dipta,Bank of Baroda,Hyderabad,641
Aaditya Kapoor,2000-05-24,India,Telangana,Muslim,General,695375,Hyderabad Public School,62,Diploma,,86.0,,Medical,BITS Pilani Hyderabad,Telangana,67718,4341,Day Scholar,0,7754,Vedant,Dipta,HDFC Bank,Hyderabad,681
Saanvi Agate,2006-06-09,India,Telangana,Christian,ST,843225,Delhi Public School,71,Graduation,,,64.0,PhD,Osmania University,Telangana,295917,6503,Day Scholar,0,9592,Ansh,Hemal,IDFC FIRST Bank,Hyderabad,757
Sanya Bala,2001-12-25,India,Telangana,Hindu,ST,434265,Hyderabad Public School,81,12th,84.0,,,Arts,ICFAI Business School,Telangana,262569,1933,Hosteller,14498,0,Chakradev,Zaitra,Canara Bank,Hyderabad,692
Shreya Buch,2006-03-19,India,Telangana,Hindu,General,690623,Sri Chaitanya,83,12th,60.0,,,PhD,University of Hyderabad,Telangana,177117,5644,Hosteller,25406,0,David,Barkha,Bajaj Finserv,Hyderabad,754
Ishaan Lal,2006-02-03,India,Telangana,Hindu,OBC,535469,Bhavans,69,12th,83.0,,,MBA,ICFAI Business School,Telangana,196032,1837,Hosteller,38769,0,Ethan,Hemangini,Bajaj Finserv,Hyderabad,660
Meera Hegde,2001-09-06,India,Telangana,Muslim,General,619214,Narayana,77,12th,73.0,,,Medical,Jawaharlal Nehru Technological University,Telangana,255478,2749,Day Scholar,0,9622,Frado,Vyanjana,Punjab National Bank,Hyderabad,718
Raj Tank,2002-05-20,India,Telangana,Sikh,SC,607171,Hyderabad Public School,79,Graduation,,,89.0,PhD,mrecw,Telangana,295741,3116,Day Scholar,0,5511,Chanakya,Udyati,IDFC FIRST Bank,Hyderabad,655
Vivaan Kari,2002-08-09,India,Telangana,Other,ST,784717,Oakridge International School,86,12th,61.0,,,Law,University of Hyderabad,Telangana,109663,9297,Day Scholar,0,4385,Sathvik,Osha,Bank of India,Hyderabad,686
Saanvi Chandran,1999-10-13,India,Telangana,Christian,ST,1179179,Bhavans,88,12th,67.0,,,Medical,University of Hyderabad,Telangana,109610,1907,Day Scholar,0,7905,Samar,Deepa,Kotak Mahindra Bank,Hyderabad,603
Rupa Kamdar,2001-09-30,India,Telangana,Sikh,Other,420066,Bhavans,91,12th,87.0,,,PhD,University of Hyderabad,Telangana,182321,9281,Hosteller,16757,0,Raghav,Bhavani,Bajaj Finserv,Hyderabad,824
Saanvi Krishnan,2006-08-13,India,Telangana,Sikh,General,590250,Narayana,78,Diploma,,53.0,,MBA,BITS Pilani Hyderabad,Telangana,144122,6150,Day Scholar,0,2454,Vincent,Tripti,Bank of India,Hyderabad,675
Nisha Datta,2006-01-26,India,Telangana,Hindu,SC,499031,Sri Chaitanya,83,12th,77.0,,,PhD,ICFAI Business School,Telangana,67823,1523,Hosteller,29479,0,Joshua,Jasmit,Union Bank of India,Hyderabad,676
Ayaan Chaudhuri,2004-09-02,India,Telangana,Sikh,Other,76028,Sri Chaitanya,77,12th,91.0,,,Law,Jawaharlal Nehru Technological University,Telangana,77540,4526,Day Scholar,0,3226,Michael,Nisha,Bank of India,Hyderabad,789
Vihaan Lanka,1999-08-30,India,Telangana,Christian,Other,913946,Delhi Public School,88,Graduation,,,72.0,Vocational Training,Osmania University,Telangana,199430,4745,Hosteller,43259,0,Isaac,Upasna,Canara Bank,Hyderabad,839
Priya Babu,2003-01-11,India,Telangana,Hindu,Other,1154828,Delhi Public School,77,12th,88.0,,,Engineering,University of Hyderabad,Telangana,138738,7513,Day Scholar,0,8737,Anirudh,Adweta,IDFC FIRST Bank,Hyderabad,622
sri Dhar,2003-02-12,India,Telangana,Hindu,SC,639581,Hyderabad Public School,93,12th,68.0,,,Engineering,BITS Pilani Hyderabad,Telangana,208949,7893,Day Scholar,0,2191,David,Wakeeta,ICICI Bank,Hyderabad,774
Aditya Sankar,2004-02-23,India,Telangana,Other,General,587582,Bhavans,90,Graduation,,,51.0,Arts,Osmania University,Telangana,288152,7605,Day Scholar,0,3508,Matthew,Ishanvi,ICICI Bank,Hyderabad,605
Aarav Chadha,1999-10-06,India,Telangana,Muslim,SC,108149,Oakridge International School,83,Diploma,,70.0,,PhD,ICFAI Business School,Telangana,252863,6765,Hosteller,34495,0,Nachiket,Pavani,HDFC Bank,Hyderabad,748
Reyansh Mitter,2000-10-17,India,Telangana,Christian,ST,138434,Delhi Public School,71,Graduation,,,59.0,Arts,mrecw,Telangana,287538,3983,Day Scholar,0,4571,Naksh,Ridhi,HDFC Bank,Hyderabad,614
Ayaan Chauhan,1999-07-15,India,Telangana,Sikh,General,1111945,Sri Chaitanya,62,Diploma,,70.0,,MBA,BITS Pilani Hyderabad,Telangana,223370,4148,Hosteller,40913,0,Jonathan,Adya,RBL Bank,Hyderabad,819
Reyansh Rajan,2003-02-28,India,Telangana,Sikh,OBC,1045144,Narayana,86,12th,87.0,,,PhD,mrecw,Telangana,86047,6037,Day Scholar,0,2842,Ishaan,Veda,HDFC Bank,Hyderabad,826
Riya Sathe,2002-10-01,India,Telangana,Christian,ST,778862,Delhi Public School,61,12th,71.0,,,PhD,ICFAI Business School,Telangana,102000,5259,Day Scholar,0,5081,William,Bhavya,State Bank of India,Hyderabad,813
Rupa Chandra,1999-04-07,India,Telangana,Hindu,SC,866429,Narayana,60,Diploma,,74.0,,PhD,mrecw,Telangana,187856,8493,Hosteller,42844,0,Ayush,Triveni,State Bank of India,Hyderabad,725
Aarav Bobal,2003-05-05,India,Telangana,Muslim,OBC,431142,Sri Chaitanya,76,Graduation,,,68.0,Arts,BITS Pilani Hyderabad,Telangana,279376,9802,Hosteller,32821,0,Nathan,Neha,ICICI Bank,Hyderabad,811
Reyansh Rege,2006-05-10,India,Telangana,Other,Other,315908,Bhavans,64,Diploma,,73.0,,MBA,Jawaharlal Nehru Technological University,Telangana,169365,9029,Day Scholar,0,8100,Nakul,Nitara,RBL Bank,Hyderabad,834
Aarav Balan,2000-04-13,India,Telangana,Hindu,Other,632194,Sri Chaitanya,76,Graduation,,,75.0,Medical,BITS Pilani Hyderabad,Telangana,163636,7558,Hosteller,34892,0,Banjeet,Bishakha,RBL Bank,Hyderabad,806
Aarav Nadkarni,2005-05-17,India,Telangana,Hindu,Other,720068,Delhi Public School,93,Diploma,,59.0,,Medical,ICFAI Business School,Telangana,235666,5647,Hosteller,35484,0,Anay,Hemal,Bank of India,Hyderabad,602
Vivaan Choudhary,2004-06-09,India,Telangana,Christian,SC,286006,Bhavans,65,Diploma,,61.0,,Engineering,BITS Pilani Hyderabad,Telangana,206151,9427,Hosteller,49179,0,Advik,Gayathri,RBL Bank,Hyderabad,749
Raj Chaudhry,2005-03-16,India,Telangana,Hindu,SC,887722,Delhi Public School,75,Graduation,,,75.0,Law,ICFAI Business School,Telangana,142633,3147,Hosteller,21818,0,Wriddhish,Unnati,RBL Bank,Hyderabad,769
Shreya Aggarwal,2006-02-24,India,Telangana,Hindu,ST,422017,Bhavans,77,12th,65.0,,,Arts,University of Hyderabad,Telangana,198972,7114,Day Scholar,0,9013,Harish,Jyoti,State Bank of India,Hyderabad,731
Raj Shan,2004-07-25,India,Telangana,Hindu,SC,658481,Hyderabad Public School,80,Diploma,,65.0,,MBA,Jawaharlal Nehru Technological University,Telangana,123163,6746,Day Scholar,0,2967,Abhimanyu,Indira,Axis Bank,Hyderabad,788
Aditya Thaker,2000-03-27,India,Telangana,Other,Other,295909,Hyderabad Public School,62,Graduation,,,80.0,PhD,University of Hyderabad,Telangana,88745,3865,Day Scholar,0,3707,Naveen,Irya,ICICI Bank,Hyderabad,825
Meera Kuruvilla,2004-01-16,India,Telangana,Muslim,ST,770203,Hyderabad Public School,85,12th,68.0,,,PhD,Jawaharlal Nehru Technological University,Telangana,63272,6760,Hosteller,47102,0,Hemang,Hemal,Union Bank of India,Hyderabad,806
Ishaan Bir,2001-08-31,India,Telangana,Hindu,ST,592420,Hyderabad Public School,89,Graduation,,,90.0,Vocational Training,Jawaharlal Nehru Technological University,Telangana,294517,2524,Hosteller,11124,0,Benjamin,Qushi,Union Bank of India,Hyderabad,802
Ishaan Sarna,2006-01-21,India,Telangana,Muslim,ST,897992,Oakridge International School,95,Graduation,,,57.0,PhD,ICFAI Business School,Telangana,114299,4583,Hosteller,30265,0,Alexander,Warhi,HDFC Bank,Hyderabad,696
Nisha Bains,2006-03-16,India,Telangana,Hindu,SC,723619,Bhavans,69,Diploma,,71.0,,Arts,Osmania University,Telangana,258197,5240,Day Scholar,0,7445,Aadi,Kavya,ICICI Bank,Hyderabad,680
Vihaan Mittal,2004-06-21,India,Telangana,Other,OBC,811948,Oakridge International School,65,Diploma,,71.0,,Law,Jawaharlal Nehru Technological University,Telangana,206352,1360,Hosteller,44880,0,Mason,Ladli,Kotak Mahindra Bank,Hyderabad,621
Vihaan Khosla,2000-07-27,India,Telangana,Christian,General,808139,Bhavans,80,Graduation,,,73.0,Law,ICFAI Business School,Telangana,166001,2281,Day Scholar,0,3341,Manbir,Gaurika,Axis Bank,Hyderabad,799
Meera Ramanathan,1999-05-11,India,Telangana,Other,OBC,205950,Narayana,93,Diploma,,66.0,,Arts,BITS Pilani Hyderabad,Telangana,93632,9120,Hosteller,20786,0,Jack,Hemangini,Bank of India,Hyderabad,786
Kian Narayan,2004-02-28,India,Telangana,Sikh,Other,264694,Delhi Public School,79,12th,88.0,,,Arts,Jawaharlal Nehru Technological University,Telangana,240558,4143,Hosteller,14205,0,Dev,Rajeshri,Union Bank of India,Hyderabad,839
Reyansh Chandran,2007-01-26,India,Telangana,Christian,ST,425064,Oakridge International School,84,Graduation,,,50.0,Arts,Osmania University,Telangana,75419,5569,Hosteller,31988,0,Gavin,Lakshmi,RBL Bank,Hyderabad,828
Arjun Parsa,2002-08-25,India,Telangana,Other,General,238272,Bhavans,92,Diploma,,70.0,,Arts,Jawaharlal Nehru Technological University,Telangana,292436,3592,Hosteller,17600,0,Hemang,Neelima,Bajaj Finserv,Hyderabad,691
Isha Bobal,2000-06-12,India,Telangana,Christian,General,67190,Narayana,95,12th,91.0,,,MBA,Jawaharlal Nehru Technological University,Telangana,293649,4341,Hosteller,49088,0,Azad,Sanya,Union Bank of India,Hyderabad,830
Meera Roy,2004-06-05,India,Telangana,Muslim,General,297324,Bhavans,90,12th,95.0,,,Medical,ICFAI Business School,Telangana,141453,2666,Day Scholar,0,6626,Chakradev,Wakeeta,Union Bank of India,Hyderabad,847
Saanvi Shan,2003-02-26,India,Telangana,Sikh,SC,65488,Bhavans,93,12th,76.0,,,MBA,Osmania University,Telangana,150024,8337,Day Scholar,0,9935,Jai,Siya,IDFC FIRST Bank,Hyderabad,804
Arjun Sem,2004-04-15,India,Telangana,Other,OBC,1017288,Oakridge International School,67,12th,79.0,,,Law,Jawaharlal Nehru Technological University,Telangana,143588,9245,Hosteller,33042,0,Bakhshi,Tanmayi,Kotak Mahindra Bank,Hyderabad,775
Reyansh Dayal,2001-02-21,India,Telangana,Sikh,OBC,1186089,Hyderabad Public School,86,12th,65.0,,,Law,BITS Pilani Hyderabad,Telangana,259370,6943,Day Scholar,0,6452,Dakshesh,Megha,State Bank of India,Hyderabad,845
Aaditya Madan,2001-04-08,India,Telangana,Sikh,SC,172526,Bhavans,88,Diploma,,80.0,,Medical,mrecw,Telangana,224522,1701,Day Scholar,0,5553,Girik,Megha,State Bank of India,Hyderabad,679
Nisha Aurora,2002-09-04,India,Telangana,Other,SC,80256,Hyderabad Public School,94,Graduation,,,50.0,Law,ICFAI Business School,Telangana,216774,1832,Hosteller,35359,0,Abdul,Jhalak,Punjab National Bank,Hyderabad,784
sri Chacko,2006-06-03,India,Telangana,Sikh,General,378963,Sri Chaitanya,64,12th,89.0,,,Arts,mrecw,Telangana,113589,5669,Day Scholar,0,7195,Laksh,Neelima,Federal Bank,Hyderabad,687
Kian Dutt,2004-05-04,India,Telangana,Christian,Other,613569,Narayana,84,Diploma,,63.0,,Arts,mrecw,Telangana,265906,4611,Day Scholar,0,9412,Nicholas,Arya,Union Bank of India,Hyderabad,758
Aanya Sen,2002-02-10,India,Telangana,Hindu,OBC,223923,Oakridge International School,86,12th,84.0,,,Medical,University of Hyderabad,Telangana,172573,9119,Hosteller,20180,0,Bakhshi,Veda,Punjab National Bank,Hyderabad,659
Raj Date,2006-05-27,India,Telangana,Other,OBC,85719,Bhavans,77,Diploma,,70.0,,Medical,ICFAI Business School,Telangana,231053,6344,Day Scholar,0,6214,Praneel,Chaitaly,Bank of Baroda,Hyderabad,646
Isha Pillay,2000-03-02,India,Telangana,Other,General,77662,Oakridge International School,83,Graduation,,,66.0,MBA,BITS Pilani Hyderabad,Telangana,63927,1149,Day Scholar,0,6448,Girish,Advika,Bank of Baroda,Hyderabad,653
Isha Mahal,2006-07-18,India,Telangana,Christian,General,1059442,Delhi Public School,82,Graduation,,,81.0,Medical,University of Hyderabad,Telangana,230298,7914,Day Scholar,0,8880,Samesh,Anvi,ICICI Bank,Hyderabad,714
Saanvi Batta,2001-01-10,India,Telangana,Muslim,Other,905380,Hyderabad Public School,93,Diploma,,74.0,,Law,ICFAI Business School,Telangana,245500,5690,Day Scholar,0,7177,Thomas,Bishakha,ICICI Bank,Hyderabad,849
Aarav Dalal,2005-01-11,India,Telangana,Sikh,ST,146321,Delhi Public School,86,12th,90.0,,,Medical,Osmania University,Telangana,278259,6625,Day Scholar,0,4356,Shaurya,Amruta,Punjab National Bank,Hyderabad,677
Shreya Aurora,2003-03-07,India,Telangana,Hindu,General,767468,Bhavans,89,Graduation,,,52.0,PhD,BITS Pilani Hyderabad,Telangana,169108,5455,Hosteller,29290,0,Girish,Unni,Punjab National Bank,Hyderabad,780
Sanya Kar,2002-02-28,India,Telangana,Christian,ST,151175,Oakridge International School,83,12th,68.0,,,Law,ICFAI Business School,Telangana,111349,8084,Hosteller,42573,0,Abdul,Kavya,Axis Bank,Hyderabad,690
Aarav Pandya,2001-10-26,India,Telangana,Sikh,General,1180237,Oakridge International School,95,Graduation,,,79.0,Medical,ICFAI Business School,Telangana,114891,1741,Hosteller,32176,0,Tarak,Panini,Punjab National Bank,Hyderabad,819
Meera Ravi,2002-01-15,India,Telangana,Hindu,ST,857531,Delhi Public School,82,Diploma,,90.0,,Vocational Training,BITS Pilani Hyderabad,Telangana,247920,8857,Day Scholar,0,2902,Sarthak,Janaki,Axis Bank,Hyderabad,709
Nisha Pillai,2001-12-22,India,Telangana,Muslim,SC,433816,Narayana,64,Diploma,,54.0,,PhD,mrecw,Telangana,130840,5501,Hosteller,40850,0,Qabil,Janani,Federal Bank,Hyderabad,740
Saanvi Mann,2001-06-09,India,Telangana,Christian,Other,233447,Narayana,73,Diploma,,82.0,,Law,ICFAI Business School,Telangana,243147,6527,Day Scholar,0,7468,Gaurav,Charita,HDFC Bank,Hyderabad,647
Meera Swamy,2005-04-03,India,Telangana,Other,General,116778,Hyderabad Public School,67,Graduation,,,77.0,PhD,Jawaharlal Nehru Technological University,Telangana,88730,7537,Hosteller,43477,0,Faqid,Damyanti,Bank of Baroda,Hyderabad,728
Kian Mann,2007-02-28,India,Telangana,Muslim,ST,618688,Oakridge International School,87,12th,67.0,,,Arts,Osmania University,Telangana,205045,4088,Hosteller,31525,0,Agastya,Bhavani,HDFC Bank,Hyderabad,683
Aaditya Lall,2002-02-28,India,Telangana,Sikh,OBC,297667,Hyderabad Public School,90,Graduation,,,86.0,Law,University of Hyderabad,Telangana,244143,7276,Day Scholar,0,3367,Tanish,Panini,Union Bank of India,Hyderabad,798
Ananya Sarraf,2000-10-11,India,Telangana,Sikh,SC,525673,Bhavans,85,12th,89.0,,,MBA,ICFAI Business School,Telangana,123993,7403,Hosteller,36180,0,Jacob,Yadavi,Bajaj Finserv,Hyderabad,689
Sanya Mandal,2002-02-14,India,Telangana,Muslim,OBC,1176115,Sri Chaitanya,90,Graduation,,,66.0,MBA,Jawaharlal Nehru Technological University,Telangana,183021,6984,Hosteller,37344,0,Ekapad,Yashawini,Bank of India,Hyderabad,703
